RNA site location (hg38)	H276_OLIG	H286_OLIG	H344_OLIG	H372_OLIG	H395_OLIG	H406_OLIG	H412_OLIG	H427_OLIG	H444_OLIG
chr1_100883462	0.595	0.33	0.43	0.67	0.58	0.75	0.45	0.83	0.61
chr1_10092735	0.68	0.88	0.69	0.71	0.67	0.75	0.72	0.5	0.79
chr1_10092748	0.13	0.33	0.32	0.19	0.33	0.31	0.31	0.31	0.3
chr1_10092773	0.59	0.74	0.73	0.76	0.56	0.68	0.5	0.43	0.62
chr1_10110877	0.031	0.06	0.07	0.047	0.049	0.136	0.083	0.081	0.042
chr1_10110928	0.06	0.11	0.1	0.11	0.11	0.11	0.17	0.14	0.11
chr1_10114635	0.29	0.22	0.3	0.295	0.26	0.82	0.37	0.29	0.75
chr1_10114678	0.182	0.273	0.176	0.167	0.111	0.176	0.081	0.176	0.2
chr1_10114685	0.92	0.85	0.92	0.65	0.83	0.89	0.9	0.8	0.78
chr1_10114686	0.47	0.28	0.56	0.3	0.3	0.61	0.44	0.23	0.7
chr1_10114717	0.24	0.24	0.47	0.27	0.21	0.36	0.38	0.255	0.2
chr1_10114743	0.89	0.66	0.83	0.89	0.59	0.86	0.69	0.92	0.78
chr1_10114749	0.14	0.14	0.4	0.17	0.11	0.12	0.13	0.21	0.29
chr1_10141294	0.45	0.48	0.55	0.53	0.38	0.6	0.46	0.48	0.53
chr1_10143502	0.844	0.929	0.938	1	1	0.65	1	0.846	1
chr1_10143535	0.47	0.64	0.76	0.71	0.57	0.55	0.64	0.65	0.64
chr1_10143545	0.44	0.71	0.61	0.55	0.94	0.61	0.61	0.37	0.84
chr1_10143587	0.488	0.345	0.81	0.72	0.577	0.625	0.789	0.333	0.895
chr1_10163128	0.16	0.13	0.67	0.27	0.31	0.31	0.35	0.36	0.27
chr1_10163208	0.19	0.18	0.24	0.15	0.2	0.5	0.38	0.16	0.21
chr1_10164426	0.68	0.6	0.83	0.96	0.65	0.79	0.77	0.57	1
chr1_10164449	0.28	0.16	0.36	0.43	0.12	0.5	0.28	0.28	0.21
chr1_10164450	0.25	0.3	0.25	0.37	0.46	0.69	0.42	0.38	0.2
chr1_10164453	0.26	0.335	0.43	0.46	0.19	0.29	0.31	0.36	0.39
chr1_10225364	0.36	0.5	0.55	0.64	0.23	0.62	0.56	0.31	0.5
chr1_10225400	0.176	0.057	0.231	0.176	0.176	0.167	0.188	0.176	0.176
chr1_102308739	0.5	0.73	0.705	0.68	0.42	0.86	0.92	0.5	0.74
chr1_10233382	0.29	0.14	0.45	0.23	0.25	0.18	0.32	0.27	0.5
chr1_10237964	0.078	0.06	0.06	0.05	0.039	0.091	0.059	0.06	0.093
chr1_10239106	0.086	0.135	0.111	0.189	0.235	0.189	0.25	0.189	0.259
chr1_10246637	0.43	0.38	0.73	0.6	0.53	1	0.53	0.53	0.5
chr1_10246641	0.61	0.42	0.7	0.485	0.4	0.36	0.62	0.43	0.54
chr1_10261424	0.12	0.3	0.28	0.92	0.27	0.29	0.72	0.25	0.53
chr1_10261427	0.28	0.26	0.45	0.29	0.27	0.64	0.2	0.21	0.44
chr1_10261441	0.18	0.4	0.23	0.42	0.27	0.25	0.3	0.29	0.23
chr1_10261454	0.74	0.88	0.84	0.91	0.65	0.83	0.96	0.87	0.75
chr1_10261503	0.074	0.156	0.167	0.167	0.143	0.143	0.098	0.136	0.143
chr1_10261504	0.27	0.51	0.44	0.59	0.39	0.35	0.69	0.47	0.36
chr1_10261516	0.35	0.41	0.4	0.49	0.33	0.52	0.67	0.41	0.33
chr1_10263104	0.42	0.73	0.61	0.43	0.73	0.59	0.54	0.57	0.83
chr1_10263105	0.29	0.44	0.56	0.36	0.45	0.43	0.25	0.42	0.67
chr1_10267148	0.83	0.8	1	0.64	0.8	1	0.76	0.9	0.89
chr1_10267164	0.63	0.38	0.6	0.46	0.25	0.43	0.6	0.53	0.64
chr1_10275257	1	1	1	1	1	1	1	1	1
chr1_10287323	0.136	0.156	0.308	0.174	0.146	0.111	0.217	0.188	0.165
chr1_10287326	0.217	0.152	0.286	0.226	0.356	0.115	0.304	0.235	0.2
chr1_10287336	0.23	0.35	0.3	0.28	0.39	0.19	0.36	0.17	0.43
chr1_103021850	0.38	0.17	0.12	0.17	0.16	0.15	0.22	0.25	0.17
chr1_10306514	0.15	0.15	0.111	0.172	0.185	0.115	0.189	0.15	0.111
chr1_10313248	0.333	0.194	0.273	0.346	0.222	0.273	0.273	0.235	0.385
chr1_10313341	0.17	0.06	0.14	0.2	0.13	0.21	0.21	0.18	0.19
chr1_10313347	0	0.067	0	0	0	0	0	0.107	0.033
chr1_10348879	0.59	0.48	0.8	0.64	0.43	0.93	0.6	0.53	0.57
chr1_10349314	0.42	0.45	0.5	0.42	0.25	0.45	0.28	0.43	0.41
chr1_10349356	0.186	0.211	0.211	0.25	0.227	0.182	0.211	0.286	0.094
chr1_103567100	1	1	1	1	1	1	1	1	1
chr1_10357082	0.6	0.65	0.8	0.5	0.73	0.7	0.55	0.43	0.43
chr1_10357100	0.635	0.67	0.78	0.5	0.6	0.91	0.58	0.44	0.85
chr1_10371751	0.4	0.62	0.47	0.71	0.59	0.25	0.45	0.33	0.47
chr1_10371836	0.25	0.46	0.33	0.45	0.58	0.5	0.5	0.45	0.16
chr1_10383833	0.17	0.08	0.46	0.21	0.28	0.29	0.13	0.19	0.11
chr1_10383893	0.21	0.11	0.35	0.26	0.1	0.15	0.13	0.1	0.14
chr1_10383915	0.41	0.19	0.33	0.33	0.43	0.38	0.25	0.18	0.33
chr1_10385453	0.33	0.365	0.4	0.24	0.44	0.25	0.48	0.21	0.67
chr1_10389733	0.71	0.67	0.64	0.54	0.46	0.4	0.77	0.38	0.8
chr1_10392798	0.48	0.29	0.32	0.17	0.44	0.305	0.26	0.2	0.42
chr1_10392839	0.26	0.28	0.13	0.15	0.25	0.1	0.19	0.25	0.42
chr1_10393617	0.49	0.39	0.35	0.59	0.57	0.52	0.45	0.32	0.36
chr1_10393621	0.7	0.81	0.9	0.87	0.76	0.8	0.92	0.51	0.79
chr1_10396814	0.52	0.41	0.5	0.63	0.63	0.53	0.84	0.36	0.3
chr1_10396840	0.33	0.4	0.22	0.57	0.25	0.24	0.27	0.26	0.34
chr1_10396858	0.12	0.086	0.134	0.148	0.227	0.2	0.079	0.2	0.115
chr1_10396869	0.27	0.21	0.43	0.4	0.57	0.31	0.39	0.21	0.61
chr1_10396907	0.26	0.1	0.07	0.31	0.12	0.44	0.14	0.28	0.33
chr1_10457216	1	1	1	0.761	1	1	0.538	1	0.3
chr1_10457233	0.2	0.188	0.2	0.292	0.182	0.2	0.2	0.4	0.25
chr1_10457243	0.33	0.24	0.33	0.34	0.28	0.11	0.56	0.58	0.33
chr1_108754091	0.73	0.9	0.83	0.93	0.91	0.5	0.78	0.55	1
chr1_108754107	0.32	0.36	0.58	0.29	0.62	0.42	0.21	0.41	0.45
chr1_108754134	0.65	0.7	0.35	0.52	0.67	0.73	0.78	0.44	0.73
chr1_108754145	0.555	0.28	0.67	0.53	0.82	0.64	0.31	0.37	0.58
chr1_108754150	0.5	0.14	0.62	0.37	0.67	0.67	0.6	0.59	0.58
chr1_108755217	0.182	0.2	0.148	0.258	0.409	0.12	0.41	0.225	0.25
chr1_108755221	0.44	0.3	0.55	0.48	0.4	0.38	0.35	0.26	0.39
chr1_108755226	0.41	0.44	0.48	0.4	0.3	0.34	0.4	0.22	0.45
chr1_108755244	0.61	0.63	0.56	0.55	0.64	0.69	0.78	0.52	0.6
chr1_108755245	0.415	0.45	0.41	0.54	0.42	0.53	0.28	0.29	0.4
chr1_108755264	0.54	0.58	0.5	0.6	0.7	0.59	0.67	0.62	0.55
chr1_108755327	0.25	0.23	0.32	0.44	0.4	0.53	0.28	0.28	0.3
chr1_108755376	0.25	0.25	0.31	0.32	0.2	0.23	0.26	0.19	0.25
chr1_108755391	0.58	0.61	0.53	0.67	0.595	0.85	0.78	0.58	0.33
chr1_108755410	0.5	0.6	0.61	0.7	0.64	0.7	0.73	0.5	0.23
chr1_108755432	0.32	0.34	0.44	0.58	0.32	0.48	0.59	0.34	0.18
chr1_108761789	0.6	0.5	0.6	0.57	0.83	0.4	0.6	0.63	0.69
chr1_108761852	0.5	0.38	0.5	0.5	0.59	0.5	0.92	0.5	0.64
chr1_108768374	0.08	0.06	0.08	0.13	0.1	0.15	0.08	0.14	0.09
chr1_108770048	0.13	0.07	0.167	0.152	0.222	0.167	0.167	0.167	0.217
chr1_108770056	0.529	0.893	0.867	1	0.867	0.698	0.421	0.222	0.444
chr1_108772531	0.36	0.17	0.27	0.4	0.36	0.5	0.36	0.13	0.49
chr1_108772549	0.21	0.45	0.48	0.33	0.7	0.37	0.23	0.5	0.75
chr1_108775940	0.36	0.58	0.51	0.63	0.37	0.35	0.37	0.24	0.37
chr1_108778690	0.1	0.14	0.23	0.3	0.28	0.17	0.12	0.27	0.17
chr1_108780779	0.4	0.49	0.5	0.44	0.33	0.29	0.37	0.35	0.38
chr1_108787891	0.42	0.29	0.18	0.4	0.5	0.3	0.6	0.19	0.48
chr1_108880433	0.25	0.08	0.07	0.09	0.23	0.09	0.06	0.22	0.27
chr1_108880435	0.19	0.08	0.09	0.19	0.21	0.09	0.33	0.32	0.19
chr1_108880436	0.12	0.11	0.13	0.12	0.21	0.16	0.16	0.145	0.2
chr1_108880501	0.625	0.419	0.387	0.429	0.44	0.52	0.488	0.238	0.4345
chr1_108881969	0.52	0.6	0.46	0.67	0.81	0.56	0.48	0.47	0.57
chr1_108881975	0.3	0.24	0.43	0.71	0.38	0.56	0.41	0.38	0.44
chr1_108881983	0.259	0.28	0.273	0.538	0.25	0.273	0.281	0.136	0.273
chr1_108882029	0.59	0.53	0.48	0.6	0.55	0.38	0.67	0.4	0.67
chr1_108882051	0.214	0.226	0.24	0.167	0.125	0.107	0.176	0.129	0.125
chr1_108882055	0.11	0.14	0.23	0.16	0.11	0.2	0.18	0.1	0.19
chr1_108882947	0.12	0.13	0.16	0.11	0.29	0.36	0.25	0.26	0.29
chr1_108882953	0.062	0.0615	0.061	0.052	0.082	0.117	0.058	0.25	0.038
chr1_108882957	0.08	0.07	0.1	0.06	0.11	0.23	0.13	0.09	0.07
chr1_108882971	0.12	0.12	0.12	0.12	0.12	0.18	0.14	0.09	0.22
chr1_108911407	0.28	0.18	0.12	0.5	0.29	0.26	0.34	0.22	0.24
chr1_108932002	0.25	0.259	0.185	0.197	0.091	0.294	0.25	0.25	0.273
chr1_108932153	0.16	0.158	0.192	0.192	0.192	0.214	0.167	0.214	0.308
chr1_108932154	0.48	0.526	0.4485	0.333	0.353	0.357	0.542	0.6	0.417
chr1_108932158	0.107	0.263	0.27	0.283	0.312	0.25	0.273	0.267	0.333
chr1_108933010	0.294	0.312	0.312	0.318	0.312	0.211	0.5	0.545	0.167
chr1_108933013	0.353	0.2	0.267	0.217	0.5	0.353	0.176	0.31	0.462
chr1_108933019	0.471	0.188	0.333	0.261	0.526	0.278	0.333	0.333	0.615
chr1_108933020	0.235	0.235	0.467	0.348	0.176	0.412	0.647	0.667	0.192
chr1_108935505	0.478	0.114	0.333	0.538	0.667	0.35	0.652	0.25	0.923
chr1_108935511	0.36	0.086	0.273	0.444	0.2	0.3165	0.458	0.075	0.5
chr1_108935542	0.2	0.143	0.217	0.2	0.2	0.125	0.37	0.075	0.273
chr1_108935637	0.222	0.097	0.289	0.088	0.178	0.178	0.286	0.111	0.178
chr1_108935643	0.23	0.25	0.34	0.13	0.21	0.09	0.21	0.21	0.19
chr1_108935659	0.56	0.31	0.56	0.32	0.2	0.44	0.55	0.37	0.49
chr1_108935673	0.125	0.114	0.394	0.089	0.1195	0.27	0.391	0.091	0.1
chr1_108942984	0.67	0.66	0.59	0.68	0.8	0.53	0.8	0.57	0.68
chr1_108950647	0.333	0.3505	0.316	0.714	0.273	0.75	0.368	0.4	0.267
chr1_108950657	0.32	0.45	0.33	0.33	0.33	0.25	0.3	0.36	0.62
chr1_108953351	0.14	0.16	0.2	0.29	0.3	0.26	0.37	0.07	0.26
chr1_108954298	0.9	0.89	0.92	0.69	0.57	0.94	0.79	0.67	1
chr1_108961600	0.115	0.24	0.1	0.15	0.09	0.12	0.22	0.11	0.08
chr1_108979779	0.36	0.37	0.73	0.7	0.42	0.57	0.29	0.71	0.39
chr1_108979783	0.29	0.41	0.24	0.21	0.56	1	0.14	0.38	0.36
chr1_108979784	0.54	0.39	0.35	0.4	0.55	1	0.25	0.67	0.46
chr1_109312513	0.44	0.35	0.3	0.3	0.34	0.32	0.33	0.42	0.43
chr1_109313762	0.09	0.11	0.14	0.15	0.14	0.07	0.18	0.07	0.07
chr1_109318731	0.33	0.15	0.17	0.23	0.16	0.25	0.25	0.235	0.24
chr1_109318745	0.14	0.18	0.14	0.13	0.33	0.25	0.26	0.29	0.17
chr1_109318755	0.52	0.35	0.31	0.36	0.5	0.21	0.69	0.29	0.45
chr1_109318760	0.5	0.25	0.278	0.294	0.4	0.347	0.514	0.273	0.49
chr1_109318761	0.25	0.105	0.174	0.095	0.192	0.192	0.348	0.192	0.228
chr1_109318767	0.29	0.08	0.3	0.12	0.34	0.28	0.28	0.28	0.14
chr1_109318953	0.18	0.06	0.21	0.15	0.24	0.18	0.18	0.18	0.24
chr1_109318962	0.14	0.16	0.29	0.25	0.25	0.16	0.1	0.16	0.16
chr1_109319044	0.07	0.1	0.07	0.18	0.19	0.32	0.105	0.07	0.11
chr1_109319050	0.23	0.26	0.17	0.29	0.21	0.21	0.29	0.245	0.28
chr1_109319604	0.12	0.13	0.14	0.13	0.26	0.21	0.1	0.11	0.13
chr1_109319616	0.81	0.53	0.78	0.78	0.76	0.83	0.94	0.47	0.96
chr1_109319644	0.074	0.134	0.136	0.229	0.077	0.5	0.138	0.125	0.163
chr1_109319645	0.21	0.09	0.33	0.42	0.26	0.41	0.33	0.33	0.15
chr1_109319686	0.154	0.175	0.316	0.161	0.148	0.231	0.16	0.161	0.161
chr1_109319699	0.385	0.292	0.292	0.222	0.263	0.292	0.393	0.188	0.424
chr1_109319700	0.25	0.176	0.2	0.296	0.174	0.2	0.111	0.2	0.219
chr1_109319739	0.35	0.09	0.175	0.15	0.2	0.12	0.36	0.54	0.15
chr1_109319784	0.58	0.52	0.83	0.75	0.44	0.68	0.5	0.43	0.54
chr1_109319785	0.46	0.29	0.67	0.35	0.24	0.4	0.46	0.375	0.22
chr1_109322614	0.169	0.171	0.211	0.154	0.08	0.4	0.217	0.17	0.088
chr1_109322631	0.08	0.103	0.167	0.062	0.063	0.278	0.053	0.08	0.08
chr1_109324135	0.13	0.32	0.3	0.27	0.29	0.2	0.43	0.33	0.26
chr1_109328206	0.089	0.082	0.053	0.138	0.033	0.089	0.204	0.089	0.2
chr1_109328216	0.029	0.022	0.077	0.063	0.048	0.048	0.139	0.048	0.042
chr1_109328557	0.071	0.059	0.118	0.127	0.118	0.086	0.203	0.118	0.179
chr1_109328573	0.029	0.024	0.056	0.056	0.05	0.086	0.19	0.056	0.125
chr1_109332348	0.2	0.2	0.2	0.349	0.2	0.2	0.5	0.136	0.321
chr1_109332386	0.57	0.58	0.81	0.81	0.66	0.8	0.71	0.62	0.76
chr1_109332390	0.54	0.59	0.94	0.8	0.77	0.8	0.5	0.6	0.65
chr1_109332417	0.29	0.51	0.71	0.58	0.53	0.5	0.47	0.4	0.51
chr1_109332460	0.32	0.12	0.44	0.68	0.42	0.42	0.35	0.42	0.48
chr1_109332467	0.38	0.38	0.64	0.67	0.44	0.42	0.69	0.4	0.28
chr1_109332508	0.27	0.31	0.59	0.5	0.5	0.485	0.37	0.5	0.47
chr1_109332556	0.83	0.67	0.62	0.83	0.68	0.86	0.92	1	0.86
chr1_109332571	0.62	0.45	0.42	0.64	0.53	0.64	0.62	0.85	0.62
chr1_109333024	0.25	0.58	0.33	0.51	0.25	0.4	0.4	0.36	0.44
chr1_109333084	0.41	0.22	0.5	0.29	0.44	0.44	0.69	0.38	0.29
chr1_109333092	0.56	0.24	0.5	0.53	0.33	0.5	0.92	0.67	0.61
chr1_109333098	0.34	0.35	0.35	0.35	0.29	0.41	0.36	0.42	0.3
chr1_109333101	0.32	0.15	0.3	0.3	0.3	0.417	0.3	0.25	0.269
chr1_109333105	0.29	0.36	0.5	0.58	0.48	0.31	0.45	0.5	0.7
chr1_109333176	0.58	0.5	0.67	0.67	0.58	0.5	0.31	0.29	0.58
chr1_109333177	0.23	0.27	0.42	0.33	0.46	0.5	0.2	0.25	0.44
chr1_109337339	0.19	0.11	0.26	0.39	0.09	0.235	0.33	0.29	0.21
chr1_109344758	0.06	0.154	0.13	0.159	0.167	0.154	0.086	0.154	0.163
chr1_109344874	0.19	0.21	0.58	0.3	0.32	0.32	0.36	0.32	0.37
chr1_109348531	0.16	0.3	0.29	0.52	0.42	0.31	0.23	0.27	0.55
chr1_109348565	0.65	0.53	0.38	0.51	0.6	0.71	0.77	0.6	0.68
chr1_109348586	0.22	0.13	0.29	0.18	0.2	0.14	0.22	0.09	0.15
chr1_109348612	0.2	0.31	0.14	0.18	0.3	0.35	0.3	0.28	0.27
chr1_109348613	0.23	0.27	0.11	0.12	0.23	0.23	0.23	0.22	0.23
chr1_109348617	0.061	0.074	0.111	0.073	0.111	0.222	0.111	0.138	0.139
chr1_109348633	0.06	0.087	0.1	0.1	0.188	0.1	0.068	0.229	0.111
chr1_109348648	0.75	0.77	0.73	0.71	0.74	0.68	0.87	0.54	0.79
chr1_109348692	0.1	0.06	0.24	0.12	0.15	0.12	0.13	0.16	0.14
chr1_109348696	0.45	0.3	0.24	0.43	0.37	0.2	0.54	0.29	0.47
chr1_109348697	0.09	0.13	0.15	0.19	0.145	0.1	0.24	0.14	0.22
chr1_109348711	0.17	0.2	0.27	0.14	0.16	0.23	0.16	0.17	0.21
chr1_109348712	0.45	0.25	0.28	0.47	0.34	0.43	0.52	0.33	0.39
chr1_109348716	0.36	0.21	0.18	0.43	0.28	0.08	0.13	0.22	0.41
chr1_109348757	0.12	0.08	0.11	0.11	0.1	0.2	0.1	0.11	0.26
chr1_109348760	0.41	0.36	0.46	0.57	0.52	0.33	0.32	0.22	0.45
chr1_109348765	0.09	0.031	0.179	0.138	0.171	0.267	0.138	0.1	0.138
chr1_109348766	0.054	0.068	0.179	0.185	0.184	0.158	0.058	0.079	0.1185
chr1_109348772	0.35	0.29	0.38	0.48	0.35	0.3	0.45	0.16	0.35
chr1_109349518	0.16	0.16	0.24	0.23	0.22	0.37	0.25	0.3	0.4
chr1_109349544	0.09	0.11	0.17	0.12	0.13	0.06	0.16	0.15	0.14
chr1_109349549	0.053	0.085	0.081	0.132	0.044	0.0755	0.056	0.07	0.183
chr1_109349563	0.49	0.32	0.53	0.61	0.42	0.53	0.6	0.64	0.75
chr1_109349583	0.061	0.053	0.179	0.077	0.068	0.32	0.146	0.147	0.077
chr1_109349586	0.13	0.1	0.43	0.17	0.1	0.22	0.26	0.3	0.52
chr1_109349602	0.48	0.42	0.31	0.53	0.32	0.38	0.59	0.12	0.71
chr1_109349628	0.52	0.33	0.5	0.24	0.55	0.54	0.56	0.52	0.71
chr1_109349644	0.2605	0.07	0.263	0.167	0.288	0.455	0.125	0.276	0.258
chr1_109349650	0.45	0.3	0.28	0.29	0.39	0.58	0.49	0.45	0.71
chr1_109349660	0.71	0.67	0.61	0.61	0.62	0.58	0.5	0.7	0.82
chr1_109349664	0.39	0.24	0.26	0.33	0.39	0.26	0.24	0.5	0.44
chr1_109349712	0.8	0.58	0.82	0.71	0.71	0.71	0.7	0.59	0.94
chr1_109349736	0.25	0.28	0.4	0.17	0.27	0.4	0.4	0.315	0.35
chr1_109349741	0.43	0.4	0.36	0.48	0.43	0.5	0.39	0.64	0.43
chr1_109349761	0.09	0.19	0.36	0.28	0.29	0.27	0.31	0.14	0.15
chr1_109349766	0.38	0.54	0.83	0.82	0.56	0.38	0.7	0.49	0.4
chr1_109353346	0.44	0.97	0.95	0.93	0.82	0.36	0.96	0.2	0.21
chr1_109365254	0.12	0.06	0.12	0.09	0.11	0.12	0.16	0.12	0.14
chr1_109365286	0.092	0.047	0.133	0.069	0.098	0.053	0.087	0.097	0.118
chr1_109365292	0.12	0.11	0.09	0.16	0.1	0.11	0.18	0.09	0.11
chr1_109365334	0.33	0.3	0.28	0.4	0.17	0.18	0.45	0.28	0.69
chr1_109366656	0.2	0.17	0.21	0.4	0.205	0.1	0.29	0.12	0.3
chr1_109366662	0.075	0.045	0.062	0.229	0.061	0.0625	0.091	0.063	0.038
chr1_109366672	0.13	0.09	0.07	0.26	0.12	0.07	0.105	0.07	0.23
chr1_109366677	0.056	0.034	0.066	0.082	0.073	0.052	0.038	0.056	0.056
chr1_109366689	0.09	0.08	0.08	0.18	0.09	0.105	0.17	0.12	0.14
chr1_109366735	0.08	0.09	0.15	0.24	0.24	0.14	0.17	0.12	0.13
chr1_109367132	0.14	0.43	0.33	0.26	0.32	0.44	0.48	0.36	0.32
chr1_109379148	0.12	0.22	0.28	0.13	0.19	0.4	0.22	0.22	0.29
chr1_109379262	0.09	0.09	0.07	0.14	0.09	0.09	0.06	0.08	0.09
chr1_109381619	0.84	0.49	0.46	0.79	0.73	0.56	0.75	0.45	0.71
chr1_109381622	0.44	0.28	0.39	0.51	0.39	0.46	0.36	0.13	0.33
chr1_109381649	0.21	0.15	0.19	0.18	0.2	0.19	0.15	0.45	0.19
chr1_109381807	0.37	0.41	0.345	0.47	0.17	0.58	0.29	0.31	0.32
chr1_109381818	0.53	0.66	0.64	0.5	0.64	0.73	0.36	0.33	0.64
chr1_109381833	0.93	0.67	0.67	0.56	0.68	1	0.69	0.55	0.89
chr1_109382198	0.45	0.65	0.91	0.56	0.43	0.64	0.64	0.64	0.68
chr1_109382403	0.1	0.13	0.16	0.06	0.13	0.19	0.14	0.13	0.08
chr1_109382408	0.12	0.35	0.25	0.41	0.29	0.25	0.35	0.24	0.24
chr1_109382415	0.38	0.46	0.42	0.52	0.4	0.55	0.32	0.57	0.44
chr1_109386602	0.33	0.31	0.35	0.23	0.29	0.32	0.36	0.15	0.56
chr1_109386687	0.25	0.19	0.15	0.11	0.37	0.15	0.14	0.14	0.15
chr1_109387179	0.15	0.188	0.208	0.233	0.3	0.188	0.1	0.188	0.13
chr1_109387183	0.26	0.21	0.245	0.35	0.23	0.47	0.14	0.27	0.23
chr1_109387471	0.47	0.53	0.8	0.71	0.6	0.5	0.44	0.55	0.65
chr1_109388150	0.12	0.12	0.16	0.12	0.14	0.11	0.13	0.12	0.09
chr1_109388189	0.022	0.097	0.158	0.085	0.101	0.147	0.091	0.044	0.079
chr1_109388206	0.066	0.066	0.066	0.08	0.05	0.103	0.034	0.072	0.063
chr1_109388208	0.28	0.31	0.39	0.35	0.42	0.45	0.29	0.36	0.44
chr1_109388222	0.24	0.31	0.23	0.33	0.3	0.43	0.23	0.41	0.24
chr1_109388267	0.07	0.11	0.17	0.15	0.19	0.17	0.12	0.16	0.18
chr1_109388271	0.22	0.24	0.2	0.29	0.24	0.32	0.24	0.15	0.29
chr1_109388273	0.2	0.15	0.13	0.24	0.15	0.2	0.21	0.16	0.25
chr1_109388276	0.21	0.06	0.15	0.2	0.22	0.17	0.22	0.09	0.15
